x,y,species logistic values
1.0,1.0,0.35390937
2.0,2.0,6.4484524E-9
3.0,3.0,0.024700427
4.0,4.0,0.00182622
5.0,5.0,0.23350233
6.0,6.0,0.050618496
7.0,7.0,0.001042148
8.0,8.0,0.055323713
9.0,9.0,2.6589227E-4
10.0,10.0,0.041469235
11.0,11.0,2.0940422E-6
12.0,12.0,2.9701294E-4
13.0,13.0,0.11822107
14.0,14.0,0.061466433
15.0,15.0,0.055852566
16.0,16.0,0.010080029
17.0,17.0,0.035609987
18.0,18.0,0.04470986
19.0,19.0,0.04467775
20.0,20.0,0.023678364
21.0,21.0,8.8576885E-4
22.0,22.0,0.03947944
23.0,23.0,9.6742314E-4
24.0,24.0,0.0781785
25.0,25.0,0.11774591
26.0,26.0,3.6482347E-6
27.0,27.0,2.2365291E-5
28.0,28.0,9.062334E-5
29.0,29.0,8.776113E-7
30.0,30.0,0.2342719
31.0,31.0,0.085442156
32.0,32.0,0.123104155
33.0,33.0,0.18931234
34.0,34.0,0.0175939
35.0,35.0,2.0401303E-5
36.0,36.0,9.242077E-9
37.0,37.0,0.15155257
38.0,38.0,2.967632E-10
39.0,39.0,0.017535152
40.0,40.0,0.027948484
41.0,41.0,0.07114164
42.0,42.0,5.4895292E-5
43.0,43.0,0.15233128
44.0,44.0,0.5942997
45.0,45.0,0.3524173
46.0,46.0,0.0032418359
47.0,47.0,0.20476928
48.0,48.0,0.07901264
49.0,49.0,0.1260183
50.0,50.0,2.6542206E-5
51.0,51.0,0.18518539
52.0,52.0,5.3111E-9
53.0,53.0,8.295494E-9
54.0,54.0,7.920884E-7
55.0,55.0,0.11519991
56.0,56.0,0.0034401503
57.0,57.0,3.8966743E-4
58.0,58.0,7.6476246E-4
59.0,59.0,0.09291775
60.0,60.0,0.021784661
61.0,61.0,0.048808105
62.0,62.0,0.06514274
63.0,63.0,2.6556849E-5
64.0,64.0,1.0638475E-4
65.0,65.0,0.1303775
66.0,66.0,0.009578826
67.0,67.0,0.04224416
68.0,68.0,0.22779699
69.0,69.0,6.3300613E-6
70.0,70.0,0.0049020387
71.0,71.0,0.12004141
72.0,72.0,0.008648131
73.0,73.0,0.04443026
74.0,74.0,0.05076076
75.0,75.0,0.0717667
76.0,76.0,0.051504556
77.0,77.0,0.2094879
78.0,78.0,0.21198335
79.0,79.0,0.21008874
80.0,80.0,0.028138274
81.0,81.0,0.0063595446
82.0,82.0,5.392831E-7
83.0,83.0,4.685357E-5
84.0,84.0,0.00557168
85.0,85.0,0.01411307
86.0,86.0,0.011252036
87.0,87.0,0.03804104
88.0,88.0,0.024111591
89.0,89.0,6.24695E-5
90.0,90.0,0.68785655
91.0,91.0,1.511483E-8
92.0,92.0,0.066065565
93.0,93.0,9.583462E-7
94.0,94.0,6.489681E-5
95.0,95.0,0.05503559
96.0,96.0,0.007047888
97.0,97.0,0.0020229707
98.0,98.0,0.018143691
99.0,99.0,0.0012340996
100.0,100.0,3.557539E-5
101.0,101.0,0.029629737
102.0,102.0,1.1251201E-4
103.0,103.0,0.03056937
104.0,104.0,0.034556292
105.0,105.0,0.008394905
106.0,106.0,0.037199557
107.0,107.0,0.016916359
108.0,108.0,0.0048887054
109.0,109.0,0.19115733
110.0,110.0,0.017897421
111.0,111.0,0.18813024
112.0,112.0,0.5011244
113.0,113.0,0.45355904
114.0,114.0,0.2628509
115.0,115.0,0.7763165
116.0,116.0,0.011636877
117.0,117.0,0.007335569
118.0,118.0,0.004456402
119.0,119.0,0.0072702663
120.0,120.0,0.6386626
121.0,121.0,0.15176576
122.0,122.0,0.7634372
123.0,123.0,0.0054861754
124.0,124.0,0.010765507
125.0,125.0,0.001547388
126.0,126.0,0.05597512
127.0,127.0,0.76104766
128.0,128.0,0.19688034
129.0,129.0,0.5974983
130.0,130.0,0.42035887
131.0,131.0,0.11159405
132.0,132.0,0.15568225
133.0,133.0,0.02853289
134.0,134.0,0.03504287
135.0,135.0,0.14753823
136.0,136.0,0.0330037
137.0,137.0,0.089171685
138.0,138.0,0.03161465
139.0,139.0,0.1509234
140.0,140.0,3.1179897E-7
141.0,141.0,0.034394026
142.0,142.0,0.6443705
143.0,143.0,0.1661785
144.0,144.0,6.2596723E-6
145.0,145.0,0.40193853
146.0,146.0,0.021371374
147.0,147.0,0.21920347
148.0,148.0,0.07266914
149.0,149.0,0.0817312
150.0,150.0,0.13271695
151.0,151.0,6.192667E-5
152.0,152.0,0.06844004
153.0,153.0,3.73736E-4
154.0,154.0,0.018156752
155.0,155.0,0.010599325
156.0,156.0,0.0033413826
157.0,157.0,0.0018610383
158.0,158.0,0.031049838
159.0,159.0,1.051322E-6
160.0,160.0,3.90732E-7
161.0,161.0,0.324977
162.0,162.0,0.27224493
163.0,163.0,0.7682095
164.0,164.0,0.7414449
165.0,165.0,0.18078168
166.0,166.0,0.28337428
167.0,167.0,9.8781584E-8
168.0,168.0,7.5355684E-4
169.0,169.0,0.0972479
170.0,170.0,0.06733434
171.0,171.0,0.15446535
172.0,172.0,0.3854043
173.0,173.0,0.059820954
174.0,174.0,0.45152086
175.0,175.0,0.4107881
176.0,176.0,0.004254651
177.0,177.0,0.060455833
178.0,178.0,0.3297011
179.0,179.0,0.0016672227
180.0,180.0,7.2728653E-7
181.0,181.0,0.00880733
182.0,182.0,0.065804675
183.0,183.0,0.05247878
184.0,184.0,2.7931687E-6
185.0,185.0,0.017119385
186.0,186.0,0.0015743863
187.0,187.0,1.10885245E-4
188.0,188.0,0.0037699274
189.0,189.0,1.2470844E-4
190.0,190.0,4.1733625E-8
191.0,191.0,1.5676412E-7
192.0,192.0,2.784056E-7
193.0,193.0,0.0012041493
194.0,194.0,8.804893E-5
195.0,195.0,1.2420222E-6
196.0,196.0,6.106611E-4
197.0,197.0,0.10438654
198.0,198.0,7.726559E-4
199.0,199.0,6.417456E-7
200.0,200.0,1.023073E-6
201.0,201.0,9.179457E-6
202.0,202.0,0.3709224
203.0,203.0,0.14791314
204.0,204.0,0.29510242
205.0,205.0,4.7432387E-4
206.0,206.0,0.0018501071
207.0,207.0,0.10234248
208.0,208.0,0.003155615
209.0,209.0,0.5717744
210.0,210.0,5.952901E-4
