Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.04425E-12,0.000000001,0,0.988272921,0,0
4.30272E-12,0.000000003,0.000000001,0.984008529,0,0
2.00074E-11,0.000000012,0.000000003,0.973347548,0,0
4.68573E-11,0.000000027,0.000000007,0.969083156,0,0
1.773E-10,0.000000116,0.000000027,0.957356077,0,0
2.97655E-10,0.000000252,0.000000045,0.950959488,0,0
9.05044E-10,0.000001008,0.000000138,0.937100213,0,0
2.33706E-9,0.000002625,0.000000356,0.925373134,0,0
5.98126E-9,0.000010406,0.00000091,0.906183369,0,0
1.3762E-8,0.000025541,0.000002094,0.888059701,0,0
2.6215E-8,0.00005163,0.000003989,0.874200426,0,0
5.78278E-8,0.000103204,0.000008799,0.860341151,0,0
1.54546E-7,0.000260324,0.000023515,0.845415778,0,0
2.33809E-7,0.000508583,0.000035575,0.831556503,0,0
4.80624E-7,0.001010625,0.000073127,0.81663113,0,0
8.19682E-7,0.002541168,0.000124708,0.792110874,0,0
1.54842E-6,0.005083989,0.000235555,0.769722814,0,0
2.76877E-6,0.010250504,0.000421122,0.744136461,0,0
5.84503E-6,0.025172452,0.000888598,0.706823028,0,0
1.01851E-5,0.05097064,0.001547388,0.672707889,0,0
1.99968E-5,0.100090836,0.003033507,0.636460554,0,0
3.12767E-5,0.200460202,0.00473656,0.593816631,0,0
4.63873E-5,0.303738639,0.007008884,0.566098081,0,0
5.51486E-5,0.404555884,0.008321661,0.544776119,0,0
6.54096E-5,0.506018605,0.009854736,0.526652452,0,0
7.29528E-5,0.603802,0.010978725,0.511727079,0,0
8.8177E-5,0.700226702,0.013239503,0.498933902,0,0
1.00338E-4,0.756630628,0.015037967,0.492537313,0,0
1.06122E-4,0.808528668,0.015891128,0.487206823,0,0
1.20077E-4,0.911623192,0.017943183,0.47761194,0,0
1.30501E-4,1.01184773,0.019470611,0.469083156,0,0
1.41927E-4,1.108229477,0.021139258,0.461620469,0,0
1.58328E-4,1.212715069,0.023524739,0.454157783,0,0
1.63426E-4,1.309129033,0.024263742,0.447761194,0,0
1.78176E-4,1.411743294,0.026395925,0.441364606,0,0
1.8713E-4,1.502621114,0.027685632,0.436034115,0,0
1.96851E-4,1.752473577,0.029082039,0.42217484,0,0
2.12334E-4,2.002381285,0.031297826,0.409381663,0,0
2.38664E-4,2.250180892,0.035042868,0.397654584,0,0
2.57172E-4,2.523090249,0.037658075,0.385927505,0,0
2.72315E-4,2.760734398,0.039787247,0.376332623,0,0
2.92615E-4,3.016642024,0.042626755,0.36673774,0,0
3.12813E-4,3.261368155,0.045435478,0.358208955,0,0
3.27441E-4,3.519502887,0.047459226,0.349680171,0,0
3.51437E-4,3.758752299,0.050760762,0.342217484,0,0
3.67002E-4,4.013013917,0.052889998,0.334754797,0,0
3.89596E-4,4.279869346,0.055963823,0.327292111,0,0
4.02683E-4,4.518109663,0.057735164,0.320895522,0,0
4.18156E-4,4.764455664,0.059820955,0.314498934,0,0
4.30411E-4,5.019349883,0.061466427,0.308102345,0,0
4.41678E-4,5.28147667,0.062974068,0.301705757,0,0
4.57948E-4,5.508102682,0.065142729,0.296375267,0,0
4.64894E-4,5.78532596,0.06606557,0.289978678,0,0
4.74767E-4,6.022248549,0.067373984,0.284648188,0,0
5.01124E-4,6.26672002,0.070849311,0.279317697,0,0
