Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003
"23001","05000US23001","Androscoggin County, Maine","Androscoggin County, Maine","me","050","00","ACSSF","0000013",,,,,"23","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107376,229.4694,467.931669181479
"23003","05000US23003","Aroostook County, Maine","Aroostook County, Maine","me","050","00","ACSSF","0000014",,,,,"23","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69405,10.40385,6671.08805755085
"23005","05000US23005","Cumberland County, Maine","Cumberland County, Maine","me","050","00","ACSSF","0000015",,,,,"23","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288204,344.8753,835.676038653461
"23007","05000US23007","Franklin County, Maine","Franklin County, Maine","me","050","00","ACSSF","0000016",,,,,"23","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30270,17.83744,1696.99252351748
"23009","05000US23009","Hancock County, Maine","Hancock County, Maine","me","050","00","ACSSF","0000017",,,,,"23","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54483,34.33103,1586.98999995367
"23011","05000US23011","Kennebec County, Maine","Kennebec County, Maine","me","050","00","ACSSF","0000018",,,,,"23","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120953,139.4276,867.496788402108
"23013","05000US23013","Knox County, Maine","Knox County, Maine","me","050","00","ACSSF","0000019",,,,,"23","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39717,108.7736,365.134491742819
"23015","05000US23015","Lincoln County, Maine","Lincoln County, Maine","me","050","00","ACSSF","0000020",,,,,"23","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34165,74.94916,455.842334404638
"23017","05000US23017","Oxford County, Maine","Oxford County, Maine","me","050","00","ACSSF","0000021",,,,,"23","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57299,27.58911,2076.87001484177
"23019","05000US23019","Penobscot County, Maine","Penobscot County, Maine","me","050","00","ACSSF","0000022",,,,,"23","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152978,45.03082,3397.18476533482
"23021","05000US23021","Piscataquis County, Maine","Piscataquis County, Maine","me","050","00","ACSSF","0000023",,,,,"23","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17044,4.303062,3960.90016787723
"23023","05000US23023","Sagadahoc County, Maine","Sagadahoc County, Maine","me","050","00","ACSSF","0000024",,,,,"23","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35134,138.3341,253.979345078047
"23025","05000US23025","Somerset County, Maine","Somerset County, Maine","me","050","00","ACSSF","0000025",,,,,"23","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51363,13.08819,3924.3779909405
"23027","05000US23027","Waldo County, Maine","Waldo County, Maine","me","050","00","ACSSF","0000026",,,,,"23","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39071,53.52721,729.927780360372
"23029","05000US23029","Washington County, Maine","Washington County, Maine","me","050","00","ACSSF","0000027",,,,,"23","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31925,12.45763,2562.68633213745
"23031","05000US23031","York County, Maine","York County, Maine","me","050","00","ACSSF","0000028",,,,,"23","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200536,202.4022,990.779941837568
