model,1/15/11,2/15/11,3/14/11,4/14/11,5/14/11,5/25/11,6/14/11,7/14/11,8/14/11,9/14/11,10/14/11,11/14/11,12/14/11
1,0.850727449,0.909587444,0.958340818,0.977423145,0.949355502,0.872308511,0.852665973,0.856628598,0.908678995,0.80727369,0.581097821,0.901986141,0.891190115
2,0.842493991,0.879956492,0.936916667,0.95926414,0.815497208,0.724074505,0.384308576,0.639134839,0.808132586,0.588413073,0.275743516,0.803854585,0.889614689
3,0.866221356,0.90498488,0.962077534,0.929326653,0.863997146,0.833751961,0.259275798,0.688999362,0.830124023,0.520360154,0.306726766,0.832641126,0.834451457
4,0.868238594,0.912551944,0.942653382,0.959357317,0.792967379,0.733097069,0.356568805,0.650968796,0.823966986,0.621978859,0.349496844,0.781223855,0.892705774
5,0.841614271,0.844809819,0.956942821,0.929496193,0.895925941,0.816922257,0.330915131,0.664932068,0.820320431,0.47866112,0.242761619,0.841660169,0.833701444
6,0.847240668,0.930155039,0.942393182,0.958976552,0.829384433,0.715079693,0.349044186,0.655705392,0.876262524,0.587202631,0.359658715,0.767283106,0.898542209
7,0.85796583,0.925798904,0.957151699,0.931099467,0.925426442,0.821147655,0.442266252,0.713484337,0.879474776,0.75942424,0.342108031,0.794831129,0.865524452
8,0.850580996,0.938433302,0.951039311,0.948824464,0.862437395,0.755471919,0.426203173,0.700763884,0.868188198,0.722442292,0.38657387,0.801023966,0.930118482
9,0.630193558,0.747190647,0.691573835,0.830747146,0.724885298,0.775599153,0.679506269,0.624063849,0.744853246,0.778668844,0.631619367,0.832055337,0.800467295
10,0.439791836,0.633092188,0.70321098,0.872228422,0.863675055,0.637935162,0.303394095,0.60271956,0.760439599,0.285484618,0.454271491,0.82850701,0.708235865
11,0.421557456,0.618266012,0.572713808,0.751127407,0.792762985,0.784113145,0.796364713,0.637177225,0.758423445,0.831589575,0.786087449,0.740124465,0.630376374
12,0.527559213,0.811593781,0.570325306,0.840169582,0.793078246,0.775443672,0.796136241,0.726355501,0.756442601,0.780870151,0.797381972,0.742703996,0.768842901
13,0.552299711,0.800006955,0.935158907,0.960257911,0.771922164,0.72045264,0.353243641,0.738856349,0.845918701,0.649696562,0.581809338,0.820739482,0.875166431
14,0.572686747,0.772090303,0.940498906,0.974758843,0.961005429,0.901341615,0.845401629,0.89811688,0.876569714,0.774922761,0.847768166,0.952349531,0.754150667
15,0.614687614,0.938173833,0.956186342,0.966837047,0.851372014,0.933658205,0.412105465,0.788300498,0.849008254,0.755808359,0.898764547,0.696428379,0.819370577
16,0.588281968,0.936835362,0.951149652,0.961528761,0.851099313,0.919528181,0.425159475,0.777488678,0.851452531,0.794223639,0.892198327,0.655964063,0.80349708
17,0.325719124,0.701106822,0.918745272,0.68890234,0.927219486,0.454286989,0.287703579,0.775570894,0.841019552,0.721234056,0.444965316,0.854418551,0.742048692
18,0.361973221,0.696721931,0.920684197,0.701053881,0.928064647,0.473334216,0.278503722,0.778983397,0.841979079,0.671407291,0.448195738,0.868610633,0.739341656
19,0.310228226,0.629662918,0.941728056,0.957459799,0.973753775,0.601542302,0.775183751,0.89304603,0.883559165,0.773344882,0.723354629,0.926333534,0.680737618
20,0.926842798,0.571492722,0.965481175,0.95900983,0.945051934,0.928843651,0.931661816,0.845775871,0.870813435,0.817758309,0.780643767,0.877766744,0.56680208
21,0.420958604,0.797625926,0.875211316,0.961604774,0.776161367,0.725202994,0.308103716,0.513841628,0.74332789,0.557855188,0.51629261,0.833757779,0.896481281
22,0.525750621,0.697810296,0.723318734,0.897957883,0.870298152,0.668671867,0.298154836,0.605318229,0.733068809,0.285422827,0.491995299,0.905510193,0.752901973
23,0.525431635,0.766400377,0.738802937,0.959959815,0.804438132,0.713545282,0.357043921,0.577174232,0.691879772,0.495701108,0.593140641,0.8109277,0.867366536
24,0.430563302,0.698115908,0.7305371,0.965819106,0.793257944,0.726610011,0.359933562,0.549243382,0.706742287,0.495339189,0.582972885,0.832084026,0.899808374
25,0.46649741,0.791888854,0.946031362,0.981188756,0.936957883,0.910724293,0.826371671,0.870686602,0.901987907,0.805827117,0.772182622,0.929315689,0.929781328
26,0.548807914,0.813397358,0.944610783,0.97842217,0.943492183,0.901364686,0.832067872,0.865581842,0.900057377,0.805829324,0.776137434,0.92204396,0.931947693
27,0.55440823,0.81444493,0.896563103,0.977546096,0.79271123,0.86300976,0.915026261,0.875211128,0.908271174,0.791764135,0.777930294,0.886683537,0.862144027
28,0.579447652,0.816740696,0.963004914,0.980493782,0.943125692,0.909957589,0.853866744,0.905582402,0.905770402,0.844079093,0.798211737,0.930112107,0.917863868
29,0.427331308,0.743183925,0.910082207,0.982004931,0.93412842,0.914975772,0.828285765,0.887866992,0.872563005,0.787044843,0.863769107,0.933554506,0.920827448
30,0.627346756,0.856971088,0.959682874,0.978237918,0.947167857,0.902572755,0.849869148,0.894613951,0.904281238,0.845341396,0.812112519,0.927130933,0.910048955
31,0.456135371,0.535493078,0.526105182,0.966938281,0.895148036,0.901025638,0.829633875,0.88183429,0.8538615,0.787956261,0.878615329,0.8419218,0.647322939
32,0.441727822,0.880416916,0.936032911,0.982292518,0.934326772,0.915894613,0.829221718,0.888191557,0.871768548,0.787328419,0.875371666,0.933982385,0.900201618
